dataset,num_classes,num_samples,mode,requested_mode,full_finetune,filter_dropout,num_ortho_blocks,pruned_block_idx,selection_method,random_block_pool_size,correlation_batches,num_filter_blocks,filter_block_layers,filter_residual_hidden_dim,filter_residual_alpha,filter_residual_dropout,lora_rank,lora_alpha,lora_dropout,lora_ortho_lambda1,lora_ortho_lambda2,seed,deterministic,lr_main,lr_lora,warmup_epochs,min_lr_ratio,weight_decay,label_smoothing,drop_rate,drop_path_rate,mixup_alpha,randaugment,random_erasing_prob,epochs,early_stopping_enabled,patience,max_epochs,epochs_trained,staged_finetune,phase1_epochs,phase2_epochs,phase2_lr,phase2_weight_decay,phase1_best_val_acc,phase2_best_val_acc,best_phase,phase1_epochs_trained,phase2_epochs_trained,batch_size,best_val_acc,best_epoch,final_test_acc,final_test_loss,param_breakdown.filter_block,param_breakdown.lora,param_breakdown.layernorm,param_breakdown.head,param_breakdown.trainable_backbone,param_breakdown.frozen_backbone,param_breakdown.total_params,param_breakdown.trainable_params,param_breakdown.trainable_pct
pets,37,1000,sft,,False,0.0,,7,correlation,,10,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,19,False,,,,,,,,,,32,96.0,9,87.98037612428455,0.4950340888941441,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,correlation,,10,1,1,0,,,0,32.0,0.0,,,45,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,27,False,,,,,,,,,,32,90.5,17,88.49822840010903,0.5728396612264441,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,correlation,,10,1,1,0,,,0,32.0,0.0,,,70,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,15,False,,,,,,,,,,32,93.0,5,88.44371763423277,0.4839897289380744,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,7,random-last6,6,,1,1,0,,,0,32.0,0.0,,,18,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,18,False,,,,,,,,,,32,96.0,8,89.39765603706732,0.5039804122548039,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
pets,37,1000,sft,,False,0.0,,8,random-last6,6,,1,1,0,,,0,32.0,0.0,,,45,True,0.001,0.0003,2,0.01,0.01,0.1,0.0,0.1,0.0,False,0.0,-1,True,10,100,25,False,,,,,,,,,,32,92.0,15,89.23412373943854,0.5172082632577006,590592,0,35328,28453,0,78675456,79329829,654373,0.8248763526264503
